C_ID,T_ID,Text,Completion
12,1,바이킹의 공격 능력,"바이킹의 공격 능력은 아래와 같습니다.

랜저 유도탄(Lanzer Torpedoes)을 사용하는 공중 공격 모드(전투기 모드)
- 공격력 : 10(+1) x 2 / 중장갑 상대 : 14(+1) x 2
- 사거리 : 9
- 공격 속도 : 2(아주빠름 1.43)
- 대상 : 공중 목표물 

개틀링 포(Gatling Cannon)을 사용하는 지상 공격 모드(돌격 모드)
- 공격력 : 12(+1) / 기계 상대 : 20(+2)
- 사거리 : 6
- 공격 속도 : 1(아주 빠름 기준 0.71)
- 대상 : 지상 목표물"
12,2,바이킹의 방어 능력,"바이킹은 높은 체력을 가진 기계 유닛으로 다양한 목적으로 사용 가능합니다.
- 생명력 : 135
- 방어력 : 0(+1)
- 특성 : 중장갑-기계"
12,3,바이킹에 적용 가능한 업그레이드,"바이킹은 3가지 적용 가능한 업그레이드가 있습니다.
- 지능형 제어 장치 : 바이킹의 전투 모드를 빠르게 전환합니다.
- 우주선 무기 업그레이드 1, 2, 3 단계 : 바이킹의 공격력을 증가시킵니다.
- 차량 및 우주선 장갑 업그레이드 1, 2, 3 단계 : 바이킹의 방어력을 증가시킵니다."
12,4,바이킹이 보유한 기본 능력,"바이킹은 두가지 기본 능력이 존재합니다.
- 돌격 모드 : 바이킹을 돌격 모드로 전환합니다. 지상으로 이동하며 지상 목표물만 공격합니다.
- 전투기 모드 : 바이킹을 전투기 모드로 전환합니다. 공중으로 이동하며 공중 목표물만 공격합니다."
13,0,스타크래프트2 테란 공성전차 기본 정보,스타크래프트2의 테란 공성전차(Siege Tank)는 스타크래프트1에 등장하는 시즈탱크와 마찬가지로 공성모드로 전환이 가능한 지상 공성유닛 입니다. 공성모드에선 사거리와 공격력이 증가하지만 이동이 불가능해 호위 유닛이 필요합니다.
13,1,공성전차의 공격 능력,"공성전차는 두가지 타입으로 공격을 수행합니다.

전차모드 : 90mm포(90mm Cannoons)를 사용하여 공격합니다.
- 공격력 : 15(+2) / 중장갑 상대 : 25(+3)
- 사거리 : 7
- 공격속도 : 1.04(아주 빠름 기준 0.74)
- 대상 : 지상 목표물 

공성 모드 : 크루시오 충격포(Crucio Shock Cannon)
- 공격력 : 40(+4) (방사피해) / 중장갑 상대 : 70(+5) (방사피해)
- 사거리 : 2~13 (가까이 있는 목표물 공격 불가)
- 공격속도 : 3(아주 빠름 기준 2.14)
- 대상 : 지상 목표물"
13,2,공성전차의 방어 능력,"공성 전차는 높은 체력과 방어력을 가지고 있습니다. 그러나 빠르게 접근하는 대상들에게 취약하므로 호위 병력이 필요합니다.
- 생명력 : 175
- 방어력 : 1(+1)
- 특성 : 중장갑-기계"
13,3,공성전차에 적용 가능한 업그레이드,"공성전차는 두가지 적용 가능한 업그레이드가 있습니다.
- 차량 무기 업그레이드 1, 2, 3 단계 : 공성전차의 공격력을 증가시킵니다.
- 차량 및 우주선 장갑 업그레이드 1, 2, 3 단계 : 공성전차의 방어력을 증가시킵니다."
13,4,공성전차의 기본 능력,"공성 전타는 두개의 기본 능력이 있습니다.
- 공성 모드 : 공성 전차를 공성모드로 전환합니다. 사거리가 증가하며 큰 피해를 줍니다. 그러나 이동이 불가능하고 근접한 적 유닛을 공격할 수 없습니다.
- 전차 모드 : 공성 모드에서 전차 모드로 전환합니다. 이동할 수 있으나 사거리와 공격력이 감소합니다."
14,0,스타크래프트2 토르의 기본 정보,토르(Thor)는 스타크래프트2에 등장하는 테란의 지상 중돌격 기계 유닛 입니다. 높은 체력과 강력한 공격력으로 막강한 파워를 자랑합니다. 지상과 공중 모두 공격이 가능합니다. 공중 공격의 모드를 변환할 수 있습니다.
14,1,토르의 공격 능력,"토르는 높은 공격력을 가지고 있습니다. 

토르의 망치(Thor's Hammer)
- 공격력 : 30 (+3) × 2
- 사거리 : 7
- 공격 속도 : 1.28 (아주 빠름 기준 0.91)
- 대상 : 지상 목표물

폭약 탄두: 재블린 미사일 발사기 Javelin Missile Launchers[28]
- 공격력 : 기본: 6 (+1) × 4 (방사 피해) / 경장갑 상대: 12 (+2) × 4 (방사 피해)
- 사거리 : 10
- 공격 속도 : 3 (아주 빠름 기준 2.14)
- 대상 : 공중 목표물

고충격 탄두: 250mm 천벌포 250mm Punisher Cannons
- 공격력 : 기본: 25 (+3) / 거대 상대: 35 (+4)
- 사거리 : 11
- 공격 속도 : 1.28 (아주 빠름 기준 0.91)
- 대상 : 공중 목표물"
14,2,토르의 방어 능력,"토르는 높은 체력과 방어력을 가진 중돌격 기계 유닛 입니다. 하지만 느린 공격속도로 저글링과 같이 빠르게 접근하는 다수의 적을 상대하기 버겁습니다. 해병과 같은 호위 유닛과 사용하면 효과가 좋습니다.
- 생명력 : 400
- 방어력 : 1(+1)
- 특성 : 중장갑-기계-거대"
14,3,토르의 기본 능력,"토르는 두 가지 기본 능력이 있습니다.
- 고충격 탄두 : 토르의 250mm 천벌포를 활성화 합니다. 천벌포는 단일 공중 유닛을 공격하여 큰 피해를 줍니다.
- 폭약 탄두 : 토르에 재블린 미사일 발사기를 장착합니다. 주변 공중 유닛에게 방사 피해를 입히며, 경장갑 유닛에게 추가 피해를 줍니다."
14,4,토르에 적용 가능한 업그레이드,"토르는 3가지 적용 가능한 업그레이드가 있습니다.
- 지능형 제어 장치 : 토르의 전투 모드를 빠르게 전환합니다.
- 차량 무기 업그레이드 1, 2, 3 단계 : 토르의 공격력을 증가시킵니다.
- 차량 및 우주선 장갑 업그레이드 1, 2, 3 단계 : 토르의 방어력을 증가시킵니다."
15,0,화염차의 기본 정보,화염차(Hellion)은 스타크래프트2에 등장하는 테란의 지상 정찰 및 전략 유닛 입니다. 빠른 기동성과 경장갑 상대의 높은 공격력으로 상대 를 혼란에 빠트릴 수 있습니다.
15,1,화염차의 기본 능력,"화염차는 낮은 체력을 보유했지만 빠른 기동성으로 경장갑 유닛들을 상대하기 좋습니다.
- 공격력 : 8(+1)(방사 피해) / 경장갑 대상 : 14 --> 19(+2)(지옥불 조기점화기)(방사피해)
- 사거리 : 5
- 공격속도 : 2.5(아주 빠름 기준 1.79)
- 지상 목표물"
15,2,화염차의 방어 능력,"화염차는 낮은 체력을 보유했지만 빠른 기동성으로 적들에게 혼란을 주기 좋고, 정찰 및 게릴라에 특화되어 있습니다. 또한 화염기갑병(Hellbat)으로 변신하여 생명력을 약간 높이고 공격력을 크게 증가시킬 수 있습니다."
15,3,화염차에 적용 가능한 업그레이드,"화염차가 사용 가능한 업그레이드는 4가지가 있습니다.
- 지옥불 조기점화기 : 화염차가 경장갑 유닛에게 5의 추가 피해를 입힙니다.
- 지능형 제어장치 : 화염차가 화염기갑병으로 빠르게 변환합니다.
- 차량 무기 업그레이드 1, 2, 3 단계 : 화염차의 공격력을 증가시킵니다.
- 차량 및 우주선 장갑 업그레이드 1, 2, 3 단계 : 화염차의 방어력을 증가시킵니다."
15,4,화염차의 기본 능력,"화염차는 한가지 기본 능력이 존재합니다.
- 화염 기갑병 모드 : 화염차를 근거리 전투 유닛인 화염 기갑병으로 변신시킵니다. 화염 기갑병은 전방에 작은 부채꼴 형태의 화염 공격을 합니다."
16,0,화염 기갑병의 기본 정보,"화염기갑병(Hellbat)은 화염차가 돌격 모드로 변신한 지상 유닛입니다.. 군수공장에서 바로 생산할 수도 있습니다.
화염차보다 느린 기동력을 가졌지만 경장갑 상대로 매우 큰 피해를 입히므로 본대와 함께 전투를 수행합니다."
16,1,화염 기갑병의 공격 능력,"화염 기갑병은 작은 부채꼴의 네이팜 분사(Napalm Spray)공격을 합니다.
- 공격력 : 18(+2)(방사 피해) / 경장갑 대상 : 18 --> 30(+2)(지옥불 조기점화기)(방사피해)
- 사거리 : 2
- 공격속도 : 2(아주 빠름 기준 1.43)
- 대상 : 지상 목표물"
16,2,화염 기갑병의 방어 능력,"화염 기갑병은 화염차보다 높은 체력을 가졌지만 이동속도가 느립니다. 추적자와 같이 빠른 원거리 유닛에게 약하므로 불곰, 해병과 같은 호위 병력이 필요합니다.
- 생명력 : 135
- 방어력 : 0(+1)
- 특성 : 경장갑-생체-기계"
16,3,화염 기갑병에 적용 가능한 업그레이드,"화염기갑병이 사용 가능한 업그레이드는 4가지가 있습니다.
- 지옥불 조기점화기 : 화염기갑병이 경장갑 유닛에게 12의 추가 피해를 입힙니다.
- 지능형 제어장치 : 화염기갑병이 화염차로 빠르게 변환합니다.
- 차량 무기 업그레이드 1, 2, 3 단계 : 화염기갑병의 공격력을 증가시킵니다.
- 차량 및 우주선 장갑 업그레이드 1, 2, 3 단계 : 화염기갑병의 방어력을 증가시킵니다."
16,4,화염 기갑병의 능력,"화염 기갑병은 하나의 기본 능력이 존재합니다.
- 화염차 모드 : 화염 기갑병을 기동력이 높은 화염차로 변신시킵니다. 화염차는 일직선의 화염 공격을 합니다."
17,0,스타크래프트2 벤시의 기본 정보,벤시(Banshee)는 스타크래프트2에 등장하는 테란 공중 전술 타격기 입니다. 지상만 공격할 수 있으며 은폐 능력을 사용하여 상대에게 혼란을 줄 수 있습니다.
17,1,벤시의 공격 능력,"벤시는 공중을 사용한 기동력과 은폐를 사용하여 적의 공격을 피할 수 있습니다. 반동 로켓포(Backlash Rockets)를 사용하여 지상 유닛을 공격합니다.
- 공격력 : 12(+1) x 2
- 사정거리 : 6
- 공격 속도 : 1.25(아주 빠름 기준 0.89)
- 대상 : 지상 목표물"
17,2,벤시의 방어 능력,"밴시는 은폐를 사용하여 적의 공격을 회피할 수 있습니다. 다만 공중 공격은 불가능 하므로, 바이킹과 같은 호위 유닛이 필요합니다.
- 생명력 : 140
- 방어력 : 0(+1)
- 특성 : 경장갑-기계"
17,3,벤시에 사용 가능한 업그레이드,"밴시가 사용 가능한 업그레이드는 3가지가 있습니다.
- 은폐 : 적 유닛이 보거나 공격하지 못하게 밴시를 은폐합니다. 은폐는 탐지기나 탐지 효과로만 적에게 드러납니다.
- 우주선 무기 업그레이드 1, 2, 3 단계 : 밴시의 공격력을 증가시킵니다.
- 차량 및 우주선 장갑 업그레이드 1, 2, 3 단계 : 밴시의 방어력을 증가시킵니다."
17,4,벤시의 기본 능력,벤시가 보유한 기본 능력은 존재하지 않습니다.
18,0,스타크래프트2 밤까마귀의 기본 정보,"밤까마귀(Raven)은 스타크래프트2에 등장하는 테란 공중 지원 유닛 입니다. 자동 포탑 설치, 방해 매트릭스, 대장갑 미사일 사용이 가능합니다."
